ISSUED_YEAR,PERMIT_TYPE,PERMIT_COUNT
2021,Grade Or Quarry Or Fill Or Excavate,16
2021,New Construction,45
2021,New Construction Wood Frame,81
2021,Otc Alterations Permit,22117
2021,Sign - Erect,422
2021,Wall Or Painted Sign,50
2022,Additions Alterations Or Repairs,1343
2022,Demolitions,67
2022,Grade Or Quarry Or Fill Or Excavate,13
2022,New Construction,33
2022,New Construction Wood Frame,66
2022,Otc Alterations Permit,21392
2022,Sign - Erect,306
2022,Wall Or Painted Sign,74
2023,Additions Alterations Or Repairs,1441
2023,Demolitions,57
2023,Grade Or Quarry Or Fill Or Excavate,1
2023,New Construction,20
2023,New Construction Wood Frame,62
2023,Otc Alterations Permit,21861
2023,Sign - Erect,286
2023,Wall Or Painted Sign,65
2024,Additions Alterations Or Repairs,1478
2024,Demolitions,33
2024,Grade Or Quarry Or Fill Or Excavate,3
2024,New Construction,24
2024,New Construction Wood Frame,56
2024,Otc Alterations Permit,22374
2024,Sign - Erect,568
2024,Wall Or Painted Sign,53
2025,Additions Alterations Or Repairs,1168
2025,Demolitions,47
2025,Grade Or Quarry Or Fill Or Excavate,3
2025,New Construction,10
2025,New Construction Wood Frame,45
2025,Otc Alterations Permit,22949
2025,Sign - Erect,491
2025,Wall Or Painted Sign,47
2025,,130
